25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\
26405:他的\困难\是\由于\缺乏\知识\而\引起\的\.\
#His difficulties issue from his lack of knowledge.
弊狼 绢妨框篮 瘤侥狼 搬翘栏肺 具扁等 巴捞促.

26406:他的\离\去\在\我们的\生活\中\造成\了\空虚\.\
#His departure created a vacuum in our lives.
弊狼 栋巢篮 快府狼 积劝俊 乐绢辑 傍倾窃阑 檬贰沁促.

26407:他的\理想\具体\地\体现\在\他的\音乐\中\.\
#His ideals were incarnated in his music.
弊狼 捞惑篮 备眉利栏肺 弊狼 澜厩 加俊 备泅登菌促.

26408:他的\脸\具有\哈\布\斯\堡\王室\的\外貌\特\徵\.\
#His face shows the lineaments of the Hapsburgs.
弊狼 倔奔篮 Hapsburg 空角狼 寇葛 漂隆阑 爱眠绊 乐促.

26409:他的\脸\晒\得\很\黑\,\他的\双手\大\而\有力\.\
#His face is tanned and his hands big and strong.
弊狼 倔奔篮 酒林 八霸 弊阑啡栏哥, 弊栏 滴 颊篮 农绊 塞捞 乐促.

26410:他的\论点\是\应该\减少\世界\贸易\的\障碍\.\
#His contention was that world trade barriers should be lowered.
弊狼 稠痢篮 技拌 公开狼 厘局甫 皑家秦具 窍绰 巴捞促.

26411:他的\论据\是\一堆\杂乱\无\章\互\不\相关\的\事实\.\
#His argument is a ragbag of disconnected facts.
弊狼 稠芭绰 茄 公歹扁狼 公龙辑窍绊 惑龋 包访绝绰 荤角甸捞促.

26412:他的\卖弄\只不过\暴露\了\他\自己的\无知\.\
#His show-off only serves to show up his ignorance.
弊狼 凰晨篮 促父 弊 磊脚狼 公瘤甫 气肺窍绰 巴俊 阂苞窍促.

26413:他的\帽子\被\一阵\大风\吹\走\,\最后\落\在\房顶\上\.\
#His hat blew off in a strong wind and landed up on top of a house.
弊狼 葛磊绰 奴 官恩俊 朝妨啊 滚妨辑 场郴绰 瘤贺 困俊 冻绢脸促.

26414:他的\秘书\事先\没\通知\就\擅自\离\职\了\.\
#His secretary has left him without notice.
弊狼 厚辑绰 荤傈俊 烹瘤窍瘤 臼绊 付澜措肺 老阑 弊父滴菌促.

26415:他的\名声\使\我\先\倾向\于\对\他\没有\好感\.\
#His reputation predisposes me against him .
弊 疙己篮 唱肺 窍咯陛 刚历 龋皑捞 绝档废 摹快摹霸 茄促.

26416:他的\名字\印\在\封面\上\会\促进\这\本\书\的\销路\.\
#His name on the cover will sell the book.
钎瘤俊 牢尖等 弊狼 捞抚篮 捞 氓狼 魄肺甫 盟柳矫懦 巴捞促.

26417:他的\母亲\从\报\上\获\悉\儿子\成功\的\消息\.\
#His mother learnt of her son's success in the newspapers.
弊狼 绢赣聪绰 脚巩俊辑 酒甸狼 己傍 家侥阑 立窍霸 登菌促.

26418:他的\目光\在\一\排\排\的\人群\中\扫\来\扫\去\.\
#His eyes moved up and down the rows of people.
弊狼 传蝴篮 临瘤绢乐绰 焙吝甸阑 热绢焊疽促.

26419:他的\目光\滞留\在\一\个\奇怪\的\物体\上\.\
#His gaze rested on a strange object.
弊狼 传蝴篮 捞惑茄 拱眉 困秦 肛眠绢廉 勒促.

26420:他的\那\次\事故\葬送\了\他\参加\那\次\赛跑\的\机会\.\
#His accident has put paid to his chances of taking part in the race.
弊狼 弊 锭狼 荤绊绰 弊啊 弊 版林俊 曼啊且 扁雀甫 酪霸 沁促.

26421:他的\那\句\话\和\他的\性格\是\不\协调\的\.\
#That remark of his sorted ill with his character.
弊狼 弊 富苞 弊狼 己拜篮 绢匡府瘤 臼绰促.

26422:他的\那\楝\新建\的\大楼\已\证实\对\他的\生意\有利\.\
#His new premises have proved to be favorable to business.
弊狼 弊 货肺 瘤篮 呼爹篮 捞固 弊狼 厘荤俊 措秦 蜡府且 巴阑 角刘沁促.

26423:他的\脑子\老是\岔开\去\想\一些\枝节\问题\.\
#His mind kept branching off into the contemplation of side issues.
弊狼 赣府绰 疵 啊瘤甫 媚辑 瘤勘利牢 巩力甸阑 积阿窍霸 茄促.

26424:他的\怒气\发\在\我\身上\,\不是\发\在\她\身上\.\
#His anger descended upon me,not upon her.
弊狼 拳绰 唱俊霸 抄 巴捞瘤, 弊赤俊霸 抄 巴捞 酒聪促.

26425:他的\怒气\已\平息\下来\,\你\可以\跟\他\讲理\了\.\
#His temper has simmered down and you may be able to reason with him.
弊狼 拳绰 捞固 啊扼旧疽栏聪 呈绰 弊客 捞摹甫 蝶龙 荐 乐促.

26426:他的\诺贝尔\奖\证明\了\他\独创\性\的\研究\.\
#His Nobel Prize is a tribute to the originality of his research.
弊狼 畴骇惑篮 弊狼 芒炼利牢 楷备甫 刘疙沁促.

26427:他的\朋友\在\一次\飞机\事故\中\受\了\伤\.\
#His friend was injured in an airplane crash.
弊狼 模备绰 厚青扁 荤绊俊辑 何惑寸沁促.

26428:他的\平心静气\的\劝告\使\他们\冷静\了\一些\.\
#His quiet advice cooled them off a little.
弊狼 魔馒茄 鼻绊绰 弊甸阑 粱 趁沥窍霸 沁促.

26429:他的\妻子\发现\他\有\一\个\情妇\后\就\离开\了\他\.\
#His wife left him when she discovered he had a mistress.
弊狼 酒郴绰 弊啊 沥何啊 乐促绰 巴阑 惯斑茄 饶俊 弊甫 栋车促.

26430:他的\妻子\那样\对待\他\,\使\我们\都\感到\厌恶\.\
#We're all disgusted at the way his wife has treated him.
弊狼 酒郴绰 弊甫 弊犯霸 措窍绰 巴篮 快府 葛滴肺 窍咯陛 堪坷胶反霸 茄促.

26431:他的\企业\破产\,\财产\由\清算\管理\人\接管\.\
#His business has failed and is in the hands of the receiver.
弊狼 扁诀篮 颇魂秦辑, 犁魂篮 没魂 包府牢捞 牢拌 包府茄促.

26432:他的\汽车\被\几\辆\货车\堵塞\住\了\,\没\法\开\出来\.\
#His car has been jammed in by several lorries ,and he can't get it out.
弊狼 磊悼瞒绰 割 措狼 拳拱瞒俊 狼秦 菜 阜囚辑, 狐廉唱棵 规过捞 绝促.

26433:他的\轻浮\使\办公室\里\的\其他\人\感到\不快\.\
#His frivolity annoys the other people in the office.
弊狼 版冠窃篮 荤公角 救狼 促弗 荤恩甸肺 窍咯陛 阂蔫阑 蠢尝霸 茄促.

26434:他的\球队\不\再\有\要求\暂停\的\权利\了\.\
#His team had run out of time-outs.
弊狼 评篮 歹捞惑 鸥烙 酒眶阑 夸备且 鼻府啊 绝促.

26435:他的\去世\对\他的\朋友\来说\是\个\重大\损失\.\
#His death was a great loss to his friends.
弊狼 磷澜篮 弊狼 模备俊霸 乐绢辑 吝措茄 颊角捞促.

26436:他的\仁慈\心地\使\他\受到\大家\的\喜爱\.\
#His kindness endeared him to everyone.
弊狼 牢磊茄 付澜篮 弊肺 窍咯陛 葛电 荤恩狼 荤尔阑 罐霸 茄促.

26437:他的\任务\包括\防震\意外\事故\的\发生\.\
#His duties include guarding against accidents.
弊狼 烙公绰 狼寇狼 荤绊 惯积阑 规绢窍绰 巴阑 器窃茄促.

26438:他的\三\幅\画\已\补选\中\,\准备\送\去\展览\.\
#Three of his paintings have been marked out for exhibition.
弊狼 技 气 弊覆篮 捞固 焊比 急芭俊辑 傈恩雀俊 焊郴妨绊 茄促.

26439:他的\身体\摇晃\了\一下\,\然\後\倒\了\下去\.\
#He swayed for a moment and then collapsed.
弊狼 个篮 茄官帕 如甸芭府绊 唱辑 逞绢脸促.

26440:他的\失败\是因为\无能\还是\因为\运气\坏\?\
#Is his failure ascribable to incompetence or to bad luck?.
弊狼 角菩绰 公瓷 锭巩牢啊 酒聪搁 款捞 唱坏辑牢啊?

26441:他的\食量\比\我\所\认识\的\任何\其他\人\的\都\大\.\
#He can pack away more food than anyone else I know.
弊狼 侥荤樊篮 郴啊 酒绰 绢恫 促弗 荤恩甸狼 巴焊促 农促.

26442:他的\手臂\比\我\长\,\所以\他\爬\得\比\我\快\.\
#He has a longer reach than I have,so he can climb better.
弊狼 迫篮 唱焊促 辨绢辑 弊绰 唱焊促 弧府 坷甫 荐 乐促.

26443:他的\手\肘\从\他\衬衫\袖\的\破裂\处\露\出来\.\
#His elbow was poking through his torn shirt sleeve.
弊狼 迫厕摹啊 弊狼 寂明 家概狼 迈绢柳 镑俊辑 阂芭廉 唱吭促.

26444:他的\书\越来越\多\可以\开\个\图书馆\了\.\
#His books will build up into a library.
弊狼 氓捞 哎荐废 腹酒廉辑 档辑包阑 窍唱 瞒妨档 瞪 巴捞促.

26445:他的\说法\经\核实\过后\真实\程度\有\多\大\?\
#How does his story check out with the facts?
弊狼 捞具扁绰 荤角 八配甫 芭模 饶狼 柳龙己 沥档啊 绢蠢 沥档聪?

26446:他的\思想\是\以\佛\祖\的\教义\为\基础\的\.\
#His ideas are based on the teachings of Buddha.
弊狼 荤惑篮 何贸狼 背狼甫 扁檬肺 伙篮 巴捞促.

26447:他的\思想\总是\很\有\说服\力\地\表达\出来\.\
#Her ideas are always forcibly expressed.
弊狼 荤惑篮 疵 蚕 汲垫仿乐霸 钎泅等促.

26448:他的\态度\即使\有点\傲慢\,\也\不\能\说是\不\和善\.\
#His manner,if patronizing,was not unkind.
弊狼 怕档绰 粱 坷父且瘤扼档 馒窍瘤 臼促绊 富且 荐绰 绝促.

26449:他的\态度\意味着\他\想\跟\我们\一起\来\.\
#His manner implies that he would like to come with us.
弊狼 怕档绰 弊啊 快府客 窃膊 坷绊 酵促绰 巴阑 狼固窍绊 乐促.

26450:他的\同志\死\去\的\消息\,\使\他\极为\悲痛\.\
#The news of his comrade's death cut him up greatly.
弊狼 悼丰啊 磷菌促绰 家侥篮 弊肺 窍咯陛 瘤必洒 厚烹窍霸 茄促.

26451:他的\头\垂\向\胸前\;\他\颓丧\地\垂\下头\.\
#His head sank forward on his breast.
弊狼 赣府啊 啊娇 菊率栏肺 靛府况脸促.  ; 弊绰 钱捞 磷绢辑 绊俺甫 冻备菌促.

26452:他的\突然\来到\把\我\所有\的\计\画\全部\搞\乱\了\.\
#My plans were completely deranged by his sudden arrival.
弊狼 癌累胶繁 档馒篮 唱狼 葛电 拌裙阑 肯傈洒 噶媚 初疽促.

26453:他的\推论\十分\机智\但\不\能\令人信服\.\
#He reasoned very wittily but not convincingly.
弊狼 眠沸篮 措窜洒 扁瘤啊 逞摹瘤父 荤恩甸肺 窍咯陛 脚汗且 荐 绝霸 茄促.

26454:他的\外\棼\擦\破\了\皮\,\但\别处\都\没\受伤\.\
#He skinned his shins,but otherwise he was uninjured.
弊绰 乔何啊 哈败脸瘤父 促弗 镑篮 促 何惑寸窍瘤 臼疽促.

26455:他的\威胁\迫使\他们\不敢\实行\该\计\画\.\
#His threats scared them out of carrying out the plan.
弊狼 困蛆篮 弊甸肺 窍咯陛 皑洒 捞 拌裙阑 角青窍瘤 给窍档废 沁促.

26456:他的\诬告\反而\害\了\自己\,\落得\个\坐牢\的\下场\.\
#His false accusations kicked back and ended up with himself in prison.
弊狼 葛窃篮 坷洒妨 磊脚阑 秦媚辑 皑苛混捞窍绰 富肺肺 冻绢脸促.

26457:他的\笑话\没\奏效\,\没有\人\听\了\发笑\.\
#His jokes fell flat: nobody laughed at them.
弊狼 快胶俺家府绰 瓤苞甫 郴瘤 给秦辑 弊 穿备档 眶瘤 臼疽促.

26458:他的\写作\风格\消除\了\过\浓\的\地方\色彩\.\
#His style burns away over localized fact.
弊狼 累前 胶鸥老篮 瘤唱摹霸 拢篮 瘤规利 祸盲甫 力芭沁促.

26459:他的\新\农场\建筑\侵占\了\邻居\的\土地\.\
#His new farm buildings encroach on his neighbour's land.
弊狼 货肺款 丑厘 扒绵拱篮 捞眶狼 配瘤甫 魔裹沁促.

26460:他的\新\小说\受到\评论\家\的\严厉\批评\.\
#His new novel was hit by the reviewers.
弊狼 货肺款 家汲篮 乞沸啊狼 脚饿茄 厚乞阑 罐疽促.

26461:他的\心情\在\幸福\感\兴\沮丧\的\两\极端\间\游移\.\
#His mood oscillates between euphoria and depression.
弊狼 付澜篮 青汗皑苞 狼扁家魔狼 滴 必窜 荤捞俊辑 吭促艾促沁促.

26462:他的\信\和\她的\信\在\邮寄\中\互相\错过\.\
#His letter crossed hers in the post.
弊狼 祈瘤客 弊赤狼 祈瘤绰 快价 苞沥俊辑 第官差菌促.

26463:他的\信心\支持\着\他\把\研究\工作\坚持\下去\.\
#His conviction carried him along in his research.
弊狼 犬脚篮 弊啊 楷备 累诀阑 斑瘤秦 唱哎 巴捞扼绰 巴阑 瘤瘤窍绊 乐促.

26464:他的\行为\使\他的\父母\感到\非常\痛苦\.\
#His behaviour caused his parents a great deal of pain.
弊狼 青悼篮 弊狼 何葛肺 窍咯陛 措窜洒 绊烹胶反霸 茄促.

26465:他的\行为\虽\不\违法\,\却\与其\律师\身\分\不\相称\.\
#Although not illegal his conduct was unbecoming for a lawyer.
弊狼 青悼捞 厚废 过阑 绢扁绰 巴篮 酒匆瘤扼档 酒公贰档 函龋荤 脚盒苞 嘎瘤 臼绰促.

26466:他的\行为\应该\受到\嘲笑\,\而不是\指责\.\
#His behaviour deserves ridicule rather than blame.
弊狼 青悼篮 炼家罐酒具 且 巴捞瘤, 厚抄篮 酒聪促.

26467:他的\行为\只是\为了\掩护\他的\紧张\.\
#His conduct is a mere cover-up for his nervousness.
弊狼 青悼篮 窜瘤 弊狼 变厘皑阑 决龋窍扁 困秦辑老 挥捞促.

26468:他的\性格\跃然\显现\于\他\年\写\的\文章\中\.\
#His personality comes through with in his writing.
弊狼 己拜篮 弊啊 敬 累前 加俊 积积窍霸 唱鸥抄促.

26469:他的\眼睛\变\得\呆滞\,\接着\便\不省人事\.\
#His eyes glazed over and he fell unconscious.
弊狼 传篮 儒府港耽秦脸绊, 捞绢辑 梆 牢荤阂己登菌促.

26470:他的\演说\扯\了\开\去\,\成\了\一\篇\冗长\的\说教\.\
#His speech branched out into a long tedious sermon.
弊狼 楷汲篮 镜单绝绰 家府甫 窍霸 登绢 瘤风茄 汲背啊 登菌促.

26471:他的\演说\震撼\人心\,\整个\人群\向\他\欢呼\.\
#His speech had an electric effect on the crowd,they all cheered him.
弊狼 楷汲篮 荤恩狼 付澜阑 皑悼矫难辑, 葛电 焙吝甸捞 弊俊霸 券龋沁促.

26472:他的\一席话\说\得\我们\大家\莫名其妙\.\
#His words threw us all into confusion.
弊狼 老厘楷汲篮 快府 葛滴肺 窍咯陛 康巩阑 葛福霸 沁促.

26473:他的\一些\同学\很快\在\书法\方面\超过\了\他\.\
#Some of his classmates soon shot ahead of him in penmanship.
弊狼 割割 馆 模备甸篮 梆 辑拳 规罕俊 乐绢辑 弊甫 瓷啊沁促.

26474:他的\遗体\被\运\回\,\埋葬\在\一\个\公墓\里\.\
#His remains were shipped back and laid away in a cemetery.
弊狼 蜡眉绰 款馆登绢 茄 傍悼功瘤俊 概厘登菌促.

26475:他的\银\色\餐具\需要\彻底\弄\清洁\并\将\其\擦\亮\.\
#His table silver requires to be purified and repolished throughout.
弊狼 篮祸 侥扁绰 枚历窍霸 没搬秦具 窍哥 弊巴阑 辣捞 唱霸 篡酒具 茄促.

26476:他的\婴儿\才\两个\月\,\小\儿子\也\才\十\八\个\月\.\
#Her baby is only two months old and her little boy eighteen months,so she has little time to visit.
弊狼 酒扁绰 捞力 2俺岿捞绊 绢赴 酒甸档 捞力 18俺岿捞促.

26477:他的\用意\不是\这个\,\只是\做\做\样子\罢了\.\
#He doesn't really mean it; it's just an act.
弊狼 狼档绰 捞巴捞 酒聪扼 窜瘤 葛剧阑 焊老 挥捞促.

26478:他的\证词\动摇\了\我\认为\他\无罪\的\信念\.\
#His testimony shook my conviction that he was innocent.
弊狼 刘攫篮 郴啊 弊啊 公绊窍促绊 积阿窍绰 脚充阑 悼夸矫淖促.

26479:他的\支援\对\我们的\计\画\是\不可\或\缺\的\.\
#His support is vital for our project.
弊狼 瘤盔篮 快府狼 拌裙俊 措秦辑 阂啊窍芭唱 何练窍促.

26480:他的\职责\包括\把\信件\送\到\邮局\和\筹备\会议\.\
#His duties include taking the letters to the post office and arranging meetings.
弊狼 流氓篮 祈瘤甫 快眉惫俊 焊郴绊 雀狼甫 霖厚窍绰 巴阑 器窃茄促.

26481:他的\职责\就是\查究\滥用\权力\的\行为\.\
#It's his job to sniff out abuses of power.
弊狼 流氓篮 官肺 鼻仿 巢侩 青困甫 眠泵窍绰 巴捞促.

26482:他的\指纹\成为\暴露\他\真\面目\的\关键\.\
#His fingerprints were the giveaway.
弊狼 瘤巩篮 弊狼 柳搁格阑 气肺窍绰 包扒捞 登菌促.

26483:他的\住处\是\那\家\店铺\二\楼上\的\两个\小\房间\.\
#His living quarters were two small rooms on the second floor of the store.
弊狼 荤绰 镑篮 弊 痢器 捞摸狼 滴 俺狼 累篮 规捞促.

26484:他的\自尊\心\太\强\,\不\甘于\受\那种\对待\.\
#He was too proud to submit to such treatment.
弊狼 磊粮缴篮 呈公 碍秦辑, 弊矾茄 措快甫 崔霸 罐瘤 臼绰促.

26485:他的\祖父\母\于\二\十\年代\来到\这儿\定居\.\
#His grandparents came out here in the '20s.
弊狼 炼何葛绰 20斥措俊 咯扁俊 客辑 沥馒沁促.

26486:他的\最\後\一次\陈述\兴\第一次\完全\不同\.\
#His last statement was a farcry from his first story.
弊狼 付瘤阜 柳贱篮 霉 锅掳客 肯傈洒 促福促.

26487:他\等\在\电话\机\旁\,\铃声\一\响\就\抓\起\听\筒\.\
#Waiting by the telephone ,he pounced at it as soon as it rang.
弊绰 傈拳扁 糠俊辑 扁促府促啊, 傈拳骇 家府啊 匡府磊付磊 荐拳扁甫 棱疽促.

26488:他\丢失\了\手提箱\,\不得不\向\汤姆\借\睡衣\.\
#He had lost his case and had to borrow Tom's pyjamas.
弊绰 颊啊规阑 酪绢滚妨辑, 绢驴 荐 绝捞 沤俊霸 泪渴阑 呼啡促.

26489:他\丢失\了\叔\父\送给\他\当\生日\礼物\的\笔\.\
#He lost the pen his uncle had given him as a birthday present.
弊绰 槛何啊 弊俊霸 积老 急拱肺 霖 奇阑 酪绢滚啡促.

26490:他\东拉西扯\地\告诉\我们\这\件\事\,\那\件\事\.\
#He rambled on telling us first of one thing,then of another.
弊绰 快府俊霸 捞 老 历 老阑 炼府绝捞 窃何肺 附沁促.

26491:他\懂得\一些\数学\,\工作\上\大体\可以\对付\过去\.\
#He knew enough mathematics to muddle through in his job.
弊绰 距埃狼 荐切阑 舅酒辑 老俊 乐绢辑 措眉肺 措贸秦 唱哎 荐 乐促.

26492:他\独力\做\了\那\件\事\,\真是\令人\难以\置\信\.\
#It is unbelievable that he did it for himself.
弊啊 去磊 塞栏肺 弊 老阑 窍促聪, 沥富肺 瓜扁 绢菲促.

26493:他\读\到\那些\难\懂\的\章句\就\草率\地\一带\而\过\.\
#He hurried over the difficult passages.
弊绰 弊 捞秦窍扁 绢妨款 厘备甸阑 措面措面 逞绢艾促.

26494:他\读\了\书\中\的\几\章\并\浏览\了\其余\部分\.\
#He read some chapters and passed over the rest of the book.
弊绰 氓 加狼 割 厘阑 佬绊., 唱赣瘤 何盒篮 措面 热绢焊疽促.

26495:他\读\了\他们的\游记\故事\,\相信\得\不得了\.\
#He ate up the stories of their journeys.
弊绰 弊甸狼 咯青 捞具扁甫 佬绊绰 瘤唱磨 沥档肺 瓜菌促.

26496:他\端\汤\端\得\很\不\稳\,\以致\汤\泼\了\出来\.\
#He carried the soup so unsteadily that it slopped over.
弊绰 酒林 阂救沥窍霸 帕阑 瞒妨 初酒辑 帕捞 峻龙矾脸促.
